"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DKPN"
"C1,C2,C5,C7,C9,C12,C14,C16,C18,C21,C23,C26,C28","13","100nF","","","","Coert-Vonk:CAP X7R 100nF ±10 25V 0805","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD","399-C0805C104K3RACTUCT-ND"
"C3","1","2200μF","","","","Coert-Vonk:CAP ALUM 2200μF ±20 25V RADIAL","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","P15355CT-ND"
"C4,C10,C11,C13,C25,C27","6","10μF","","","","Coert-Vonk:CAP X7R 10μF ±10 16V 0805","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/926/CL_Series_MLCC_ds.pdf","1276-2872-1-ND"
"C6","1","33nF","","","","Coert-Vonk:CAP X7R 33nF ±10 25V 0805","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD","399-C0805C333K5RACTUCT-ND"
"C8","1","47μF","","","","Coert-Vonk:CAP X5R 47μF ±10 10V 1206","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31CR61A476KE15-01.pdf","490-9673-1-ND"
"C15","1","1000μF","","","","Coert-Vonk:CAP ALUM 1000μF ±20 10V","https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1142.pdf","PCE4567CT-ND"
"C17,C19,C22,C24","4","10nF","","","","Coert-Vonk:CAP X7R 10nF ±10% 50V 0805","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD","399-C0805C103K5RACTUCT-ND"
"C20","1","22μF","","","","Coert-Vonk:CAP X7R 22μF ±10 10V 1206","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31CR71A226KE15-01.pdf","490-5309-1-ND"
"D1","1","SMBJ15A","","","","Coert-Vonk:DIODE TVS 15VWM 24.4VC SMBJ15A DO214AA","https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=ba555e99-a12d-4f72-a0b6-86b06c67171e","SMBJ15ALFCT-ND"
"D2,D3,D4,D5,D6","5","SS34","","","","Coert-Vonk:DIODE SCHOTTKY 40V 3A DIOM7959X265N DO214AB","https://www.onsemi.com/download/data-sheet/pdf/ss39-d.pdf","SS34FSCT-ND"
"DC1","1","AZ1117-3.3","","","","Coert-Vonk:REG 3.3V 1A LDO AZ1117-3.3","https://www.diodes.com/assets/Datasheets/AZ1117I.pdf","AZ1117IH-3.3TRG1DICT-ND"
"F1","1","5A PTC","","","","Coert-Vonk:FUSE RKEF500 PTC 60V 5A","https://www.littelfuse.com/assetdocs/resettable-ptc-rkef-datasheet?assetguid=b5959439-1e75-4bb3-a055-68d67bee6314","RKEF500HF-ND"
